"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","florfenicol","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2143","Pasteurella multocida USDA-ARS-USMARC-60213","enrofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","neomycin","","==8","=","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2150","Pasteurella multocida USDA-ARS-USMARC-60712","oxytetracycline","Susceptible","<=0.5","<=","0.5","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","oxytetracycline","Susceptible","<=0.5","<=","0.5","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","ceftiofur","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","tilmicosin","","==32","=","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2147","Pasteurella multocida USDA-ARS-USMARC-60380","sulfadimethoxine","",">256",">","256","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2153","Pasteurella multocida USDA-ARS-USMARC-60385","florfenicol","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2143","Pasteurella multocida USDA-ARS-USMARC-60213","tiamulin","","==32","=","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2150","Pasteurella multocida USDA-ARS-USMARC-60712","tilmicosin","","<=4","<=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","enrofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","sulfadimethoxine","",">256",">","256","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2156","Pasteurella multocida USDA-ARS-USMARC-60714","tylosin","",">32",">","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","penicillin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","clindamycin","",">16",">","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2156","Pasteurella multocida USDA-ARS-USMARC-60714","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
