csv,fasta_dir,total_rows,matched,unmatched,match_%,output
amr_taxon_1005439_Escherichia_coli.csv,taxon_1005439_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005439_Escherichia_coli_mapped.csv
amr_taxon_1005440_Escherichia_coli.csv,taxon_1005440_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005440_Escherichia_coli_mapped.csv
amr_taxon_1005441_Escherichia_coli.csv,taxon_1005441_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005441_Escherichia_coli_mapped.csv
amr_taxon_1005442_Escherichia_coli.csv,taxon_1005442_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005442_Escherichia_coli_mapped.csv
amr_taxon_1005450_Escherichia_coli.csv,taxon_1005450_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005450_Escherichia_coli_mapped.csv
amr_taxon_1005452_Escherichia_coli.csv,taxon_1005452_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005452_Escherichia_coli_mapped.csv
amr_taxon_1005455_Escherichia_coli.csv,taxon_1005455_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005455_Escherichia_coli_mapped.csv
amr_taxon_1005460_Escherichia_coli.csv,taxon_1005460_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005460_Escherichia_coli_mapped.csv
amr_taxon_1005461_Escherichia_coli.csv,taxon_1005461_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005461_Escherichia_coli_mapped.csv
amr_taxon_1005462_Escherichia_coli.csv,taxon_1005462_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005462_Escherichia_coli_mapped.csv
amr_taxon_1005463_Escherichia_coli.csv,taxon_1005463_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005463_Escherichia_coli_mapped.csv
amr_taxon_1005464_Escherichia_coli.csv,taxon_1005464_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005464_Escherichia_coli_mapped.csv
amr_taxon_1005466_Escherichia_coli.csv,taxon_1005466_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005466_Escherichia_coli_mapped.csv
amr_taxon_1005467_Escherichia_coli.csv,taxon_1005467_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005467_Escherichia_coli_mapped.csv
amr_taxon_1005469_Escherichia_coli.csv,taxon_1005469_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005469_Escherichia_coli_mapped.csv
amr_taxon_1005470_Escherichia_coli.csv,taxon_1005470_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005470_Escherichia_coli_mapped.csv
amr_taxon_1005471_Escherichia_coli.csv,taxon_1005471_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005471_Escherichia_coli_mapped.csv
amr_taxon_1005472_Escherichia_coli.csv,taxon_1005472_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005472_Escherichia_coli_mapped.csv
amr_taxon_1005473_Escherichia_coli.csv,taxon_1005473_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005473_Escherichia_coli_mapped.csv
amr_taxon_1005474_Escherichia_coli.csv,taxon_1005474_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005474_Escherichia_coli_mapped.csv
amr_taxon_1005475_Escherichia_coli.csv,taxon_1005475_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005475_Escherichia_coli_mapped.csv
amr_taxon_1005476_Escherichia_coli.csv,taxon_1005476_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005476_Escherichia_coli_mapped.csv
amr_taxon_1005477_Escherichia_coli.csv,taxon_1005477_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005477_Escherichia_coli_mapped.csv
amr_taxon_1005478_Escherichia_coli.csv,taxon_1005478_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005478_Escherichia_coli_mapped.csv
amr_taxon_1005479_Escherichia_coli.csv,taxon_1005479_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005479_Escherichia_coli_mapped.csv
amr_taxon_1005480_Escherichia_coli.csv,taxon_1005480_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005480_Escherichia_coli_mapped.csv
amr_taxon_1005481_Escherichia_coli.csv,taxon_1005481_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005481_Escherichia_coli_mapped.csv
amr_taxon_1005482_Escherichia_coli.csv,taxon_1005482_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005482_Escherichia_coli_mapped.csv
amr_taxon_1005483_Escherichia_coli.csv,taxon_1005483_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005483_Escherichia_coli_mapped.csv
amr_taxon_1005484_Escherichia_coli.csv,taxon_1005484_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005484_Escherichia_coli_mapped.csv
amr_taxon_1005485_Escherichia_coli.csv,taxon_1005485_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005485_Escherichia_coli_mapped.csv
amr_taxon_1005486_Escherichia_coli.csv,taxon_1005486_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005486_Escherichia_coli_mapped.csv
amr_taxon_1005487_Escherichia_coli.csv,taxon_1005487_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005487_Escherichia_coli_mapped.csv
amr_taxon_1005488_Escherichia_coli.csv,taxon_1005488_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005488_Escherichia_coli_mapped.csv
amr_taxon_1005489_Escherichia_coli.csv,taxon_1005489_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005489_Escherichia_coli_mapped.csv
amr_taxon_1005490_Escherichia_coli.csv,taxon_1005490_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005490_Escherichia_coli_mapped.csv
amr_taxon_1005491_Escherichia_coli.csv,taxon_1005491_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005491_Escherichia_coli_mapped.csv
amr_taxon_1005492_Escherichia_coli.csv,taxon_1005492_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005492_Escherichia_coli_mapped.csv
amr_taxon_1005493_Escherichia_coli.csv,taxon_1005493_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005493_Escherichia_coli_mapped.csv
amr_taxon_1005494_Escherichia_coli.csv,taxon_1005494_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005494_Escherichia_coli_mapped.csv
amr_taxon_1005495_Escherichia_coli.csv,taxon_1005495_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005495_Escherichia_coli_mapped.csv
amr_taxon_1005496_Escherichia_coli.csv,taxon_1005496_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005496_Escherichia_coli_mapped.csv
amr_taxon_1005497_Escherichia_coli.csv,taxon_1005497_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005497_Escherichia_coli_mapped.csv
